Eddard,Stark,Ned@Westeros.net,Research & Development,185
Benjen,Stark,ColdHands@Westeros.net,Auditing,698
Catelyn,Stark,Mother@Westeros.net,Human Resources,397
Arya,Stark,A_Girl@Westeros.net,Research & Development,150
Robb,Stark,YoungWolf@Westeros.net,Research & Development,154
Sansa,Stark,LittleDove@Westeros.net,Research & Development,163
Bran,Stark,TheRaven@Westeros.net,Research & Development,195
Rickon,Stark,Shaggydog@Westeros.net,Research & Development,120
Jon,Snow,TheGhostBrother@Westeros.net,Auditing,622
Tyrion,Lannister,TheImp@Westeros.net,Accounting,438
Jaime,Lannister,TheGoldenHand@Westeros.net,Accounting,486
Cersei,Lannister,TheLionQueen@Westeros.net,Accounting,419
Robert,Baratheon,TheUsurper@Westeros.net,Sales,548
Stannis,Baratheon,ThePromised@Westeros.net,Sales,572
Renly,Baratheon,SummerKing@Westeros.net,Sales,532
Daenerys,Targaryen,MotherOfDragons@Westeros.net,Marketing,202
Viserys,Targaryen,GoldenKing@Westeros.net,Marketing,299
